   x     f(x)  f'(x)  f''(x)  ∫f(x)dx
-1.000  0.278  2.762  57.419  0.576
-0.950  0.343  -0.093  50.914  0.592
-0.900  0.286  -1.936  21.235  0.608
-0.850  0.176  -2.272  -5.646  0.620
-0.800  0.075  -1.648  -16.553  0.626
-0.750  0.014  -0.835  -14.528  0.628
-0.700  -0.012  -0.271  -7.824  0.628
-0.650  -0.019  -0.041  -1.654  0.627
-0.600  -0.021  -0.068  2.390  0.626
-0.550  -0.029  -0.284  7.028  0.625
-0.500  -0.054  -0.743  5.710  0.623
-0.450  -0.082  0.007  -31.601  0.619
-0.400  -0.058  0.420  21.468  0.616
-0.350  -0.062  -0.328  -3.960  0.613
-0.300  -0.067  0.183  -8.083  0.609
-0.250  -0.052  0.347  0.051  0.606
-0.200  -0.036  0.267  2.702  0.604
-0.150  -0.026  0.111  3.260  0.603
-0.100  -0.024  -0.034  2.382  0.602
-0.050  -0.029  -0.118  0.950  0.600
0.000  -0.035  -0.128  -0.580  0.599
0.050  -0.040  -0.052  -2.629  0.597
0.100  -0.038  0.161  -6.226  0.595
0.150  -0.020  0.602  -11.627  0.593
0.200  0.027  1.307  -15.860  0.593
0.250  0.111  2.047  -11.586  0.597
0.300  0.222  2.204  7.997  0.605
0.350  0.310  1.059  38.252  0.618
0.400  0.304  -1.452  58.242  0.634
0.450  0.160  -4.207  45.610  0.646
0.500  -0.091  -5.475  1.805  0.648
0.550  -0.347  -4.365  -43.293  0.637
0.600  -0.501  -1.661  -58.563  0.616
0.650  -0.515  0.916  -40.300  0.590
0.700  -0.432  2.169  -9.962  0.566
0.750  -0.321  2.085  10.663  0.547
0.800  -0.234  1.368  15.753  0.533
0.850  -0.184  0.662  11.690  0.523
0.900  -0.163  0.222  6.082  0.514
0.950  -0.158  0.021  2.360  0.506
1.000  -0.159  -0.047  0.631  0.498
###################################################
Target Function:
f(x) = cos(5x - 1) * exp(-x^2)
###################################################
